"x" "y" "c"
0.0222234011228126 1.89172361593733 1
0.346363796196135 3.50087798894481 1
-0.0724801263928207 2.018373893131 1
1.00594570862124 1.45239519235863 1
0.0060665862654975 1.90364284722726 1
0.784039721146687 1.67004852476534 1
-0.0194385539847481 1.86728028754804 1
1.07750939817660 2.24848658023786 1
-0.104178213654378 1.7866465953231 1
-1.06782272326011 2.35797717806020 1
-0.202836272658906 1.75229545444355 1
-1.19665846186556 2.16141359301720 1
0.289163091679328 2.51460637356003 1
-0.336640914373698 1.61095287292817 1
0.838690001911015 3.17434076119503 1
-0.118314726919805 3.03523646048748 1
0.312075893284929 1.52887232905122 1
0.0128835903144512 1.95867798516993 1
-1.22777503040290 1.55577597691636 1
-0.131975664926225 1.42213408586289 1
-1.69658211332347 -1.37710402948194 2
-2.16850031396922 -1.16080738986434 2
-1.54331433200529 -1.56796579652501 2
-3.23509900386372 -0.690609799766541 2
-1.51413053239081 -1.13941585280437 2
-2.15776684959269 -1.63402498919844 2
-1.34737496260954 -1.26567680228773 2
-1.42914234772961 -0.972865423843401 2
-2.74311786109434 -0.970520022580187 2
-1.47833023451087 -0.741753717438688 2
-2.32137533526176 -1.09655471472014 2
-1.60695734110317 -1.64543761596109 2
-1.90442178214080 -0.583715837960605 2
-1.56585063821975 -0.820594621476614 2
-1.58369926388098 -0.946194787872987 2
-1.72666201836299 -0.916214178688594 2
-1.72885779413787 -0.675287599176805 2
-1.64264030417512 -2.2362177595497 2
-1.36238516397355 -0.764065976489525 2
-1.62814421964171 -1.14387999543705 2
2.47366183421672 -1.89407190045046 3
3.01558491240604 -0.996548888272364 3
1.9700203921277 -0.798767576229213 3
1.30976901594516 -0.188965367767148 3
1.88889645382024 -0.707673326561363 3
1.95723528992080 -1.7153072679357 3
2.17632986438423 -1.12451741542956 3
1.78383747366880 -1.30710582692423 3
2.39912221209753 -0.80651552819275 3
1.22590666762617 -0.894573077494386 3
2.03269788373490 -1.06779869816894 3
1.82133833353722 0.0817117053815417 3
2.21784878084422 -0.738006112827739 3
1.34777736624688 -1.37041856058634 3
1.62453085627913 -0.795809108274824 3
2.72392476934492 -0.540557406176893 3
1.82113822555605 -0.781479892858533 3
2.394538509375 -0.899634104450688 3
2.07067436265459 -0.515730976635024 3
1.80666702700184 -1.47776406399795 3
